epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,78267.3,0.175,0.30062,1.0059,0.99651,1,0.995,0.93248,0.4551,0.2527,0.80439,0.0002105,0.0002105,0.0002105
86,78943.4,0.16227,0.30208,1.00023,0.99651,1,0.995,0.93412,0.45263,0.24659,0.78506,0.000198125,0.000198125,0.000198125
87,79620.6,0.16727,0.28473,1.00152,0.99675,1,0.995,0.93059,0.44796,0.24926,0.78364,0.00018575,0.00018575,0.00018575
88,80296.8,0.16532,0.29125,0.99659,0.99665,1,0.995,0.92888,0.45323,0.23903,0.77382,0.000173375,0.000173375,0.000173375
89,80973.2,0.16046,0.29829,0.99759,0.99729,1,0.995,0.93669,0.44054,0.25284,0.75063,0.000161,0.000161,0.000161
90,81647.9,0.16657,0.2934,1.00286,0.99716,1,0.995,0.9378,0.43404,0.27162,0.74339,0.000148625,0.000148625,0.000148625
91,82321.4,0.14236,0.12856,1.03425,0.99668,1,0.995,0.8905,0.46427,0.25426,0.81244,0.00013625,0.00013625,0.00013625
92,82998.8,0.14438,0.09903,1.03296,0.99639,1,0.995,0.9108,0.45055,0.25078,0.78072,0.000123875,0.000123875,0.000123875
93,83683.5,0.13419,0.09567,1.02774,0.9969,1,0.995,0.92769,0.44747,0.25192,0.7675,0.0001115,0.0001115,0.0001115
94,84429.6,0.13311,0.09115,1.03155,0.9971,1,0.995,0.93354,0.44207,0.25868,0.75205,9.9125e-05,9.9125e-05,9.9125e-05
95,85464,0.13239,0.09359,1.02712,0.99699,1,0.995,0.93789,0.44201,0.26008,0.77551,8.675e-05,8.675e-05,8.675e-05
96,86411.3,0.13382,0.08997,1.02612,0.99689,0.99983,0.995,0.93712,0.44225,0.25052,0.77127,7.4375e-05,7.4375e-05,7.4375e-05
97,87372.4,0.13064,0.08799,1.02462,0.99684,0.99977,0.995,0.93706,0.43415,0.26035,0.75299,6.2e-05,6.2e-05,6.2e-05
98,88333.6,0.12874,0.08813,1.0169,0.99691,0.99992,0.995,0.93664,0.43849,0.25457,0.761,4.9625e-05,4.9625e-05,4.9625e-05
99,89093.9,0.12409,0.08245,1.01982,0.99672,0.99963,0.995,0.9378,0.43478,0.25414,0.75407,3.725e-05,3.725e-05,3.725e-05
100,89843.1,0.12478,0.08596,1.02059,0.99626,0.99956,0.995,0.93954,0.42769,0.24617,0.72692,2.4875e-05,2.4875e-05,2.4875e-05
